"DateTime","Temperature","Dew Point","Relative Humidity"
"2024-05-31 11:51:00",71.06,42.91,36.33
"2024-05-31 22:51:00",69.08,38.93,33.34
"2024-06-01 09:51:00",69.98,45.97,42.35
"2024-06-01 20:51:00",75.92,44.04,32.17
"2024-06-02 07:51:00",69.08,51.01,52.73
"2024-06-02 18:51:00",77,51.98,41.77
"2024-06-03 05:51:00",71.96,58.96,63.76
"2024-06-03 16:51:00",82.94,57.07,41.34
"2024-06-04 03:51:00",71.96,60.04,66.26
"2024-06-04 14:51:00",78.08,62.06,57.96
"2024-06-05 01:51:00",64.94,62.94,93.31
"2024-06-05 06:23:00",66.92,64.92,93.37
"2024-06-05 13:18:00",77,66.92,71.15
"2024-06-05 21:51:00",71.96,69.08,90.68
"2024-06-06 02:03:00",69.98,69.98,100
"2024-06-06 04:51:00",69.08,69.08,100
"2024-06-06 08:51:00",73.04,71.96,96.43
"2024-06-06 15:05:00",73.04,73.04,100
"2024-06-06 17:51:00",77,75.92,96.49
"2024-06-07 02:51:00",68,68,100
"2024-06-07 13:51:00",80.96,55.98,42.39
"2024-06-08 00:51:00",66.02,52.99,63.01
"2024-06-08 11:51:00",73.04,53.92,51.25
"2024-06-08 22:51:00",71.96,51.03,47.81
"2024-06-09 09:51:00",69.98,58.96,68.19
"2024-06-09 20:51:00",71.96,48.87,44.12
"2024-06-10 07:51:00",62.96,51.01,65.18
"2024-06-10 18:51:00",73.04,51.03,46.1
"2024-06-11 05:51:00",60.08,53.91,80.21
"2024-06-11 16:51:00",71.96,55.9,57.12
"2024-06-12 03:51:00",66.02,55.89,69.98
"2024-06-12 14:51:00",73.04,55,53.31
"2024-06-13 01:51:00",66.02,62.04,87.08
"2024-06-13 12:51:00",82.94,55.99,39.76
"2024-06-13 23:51:00",73.04,62.94,70.74
"2024-06-14 10:51:00",80.06,68.02,66.79
"2024-06-14 19:08:00",64.94,64.94,100
"2024-06-15 03:51:00",66.02,64.02,93.34
"2024-06-15 14:51:00",78.08,55.04,45.08
"2024-06-16 01:51:00",69.08,49.93,50.66
"2024-06-16 12:51:00",75.92,49.98,40.23
"2024-06-16 23:51:00",64.94,60.96,87.02
"2024-06-17 09:51:00",73.94,62.94,68.63
"2024-06-17 20:51:00",77,66.92,71.15
"2024-06-18 07:51:00",73.94,66,76.36
"2024-06-18 18:51:00",80.96,66.04,60.58
"2024-06-19 05:51:00",73.04,64.02,73.46
"2024-06-19 16:51:00",82.94,64.98,54.73
"2024-06-20 03:51:00",73.04,60.96,65.97
"2024-06-20 14:51:00",87.98,65.05,46.6
"2024-06-21 02:51:00",78.98,64.04,60.32
"2024-06-21 13:51:00",93.02,68.16,44.25
"2024-06-22 00:51:00",75.92,69.08,79.42
"2024-06-22 11:51:00",89.06,70.07,53.57
"2024-06-22 16:51:00",77,73.94,90.32
"2024-06-23 03:51:00",73.94,69.08,84.84
"2024-06-23 14:51:00",89.96,69.19,50.51
"2024-06-24 01:51:00",78.08,69.98,76.26
"2024-06-24 12:51:00",78.08,53.06,41.94
"2024-06-24 23:51:00",73.04,55,53.31
"2024-06-25 10:51:00",84.02,53.13,34.58
"2024-06-25 21:51:00",80.96,46.09,29.39
"2024-06-26 08:51:00",78.08,62.96,59.82
"2024-06-26 19:51:00",86,66.09,51.51
"2024-06-27 02:22:00",68,66.02,93.4
"2024-06-27 10:51:00",75.02,58.98,57.54
"2024-06-27 21:51:00",73.94,48.88,41.28
"2024-06-28 08:51:00",68,40.91,37.36
"2024-06-28 19:51:00",69.08,46.87,45.18
"2024-06-29 05:51:00",69.08,58.96,70.32
"2024-06-29 13:51:00",75.92,66,71.48
"2024-06-30 00:51:00",73.94,71.96,93.56
"2024-06-30 09:51:00",80.96,73.06,76.97
"2024-06-30 16:10:00",73.94,69.98,87.49
"2024-06-30 20:51:00",73.04,69.98,90.17
"2024-07-01 07:51:00",66.92,54.99,65.66
"2024-07-01 18:51:00",78.08,51.98,40.31
"2024-07-02 05:51:00",66.92,48.85,52.41
"2024-07-02 16:51:00",80.06,50.04,35.11
"2024-07-03 03:51:00",71.06,53.91,54.79
"2024-07-03 14:51:00",80.96,52.02,36.69
"2024-07-04 01:51:00",69.98,56.97,63.51
"2024-07-04 12:51:00",84.92,66.97,55
"2024-07-04 23:09:00",73.94,69.98,87.49
"2024-07-05 02:51:00",73.94,71.96,93.56
"2024-07-05 07:16:00",75.02,71.96,90.25
"2024-07-05 14:51:00",89.96,72.07,55.7
"2024-07-05 21:51:00",75.92,73.04,90.83
"2024-07-06 02:43:00",73.94,71.96,93.56
"2024-07-06 07:51:00",73.94,71.96,93.56
"2024-07-06 13:51:00",89.96,72.07,55.7
"2024-07-07 00:51:00",80.96,73.06,76.97
"2024-07-07 11:51:00",86,63.03,46.3
"2024-07-07 22:51:00",80.96,71.08,72
"2024-07-08 09:51:00",86,69.13,57.23
"2024-07-08 20:51:00",80.06,69.1,69.31
"2024-07-09 07:51:00",78.98,71.96,79.18
"2024-07-09 18:51:00",82.94,73.06,72.19
"2024-07-10 05:51:00",78.98,71.96,79.18
"2024-07-10 16:51:00",84.92,72,65.33
"2024-07-11 02:23:00",75.92,73.04,90.83
"2024-07-11 07:51:00",75.92,73.04,90.83
"2024-07-11 17:51:00",86,65.01,49.62
"2024-07-12 04:51:00",78.08,62.96,59.82
"2024-07-12 12:51:00",80.06,71.08,74.14
"2024-07-12 21:51:00",80.06,71.98,76.43
"2024-07-13 05:59:00",73.04,71.06,93.54
"2024-07-13 07:37:00",73.04,71.06,93.54
"2024-07-13 10:30:00",75.92,73.04,90.83
"2024-07-13 13:51:00",82.04,71.98,71.67
"2024-07-14 00:51:00",80.06,73.94,81.69
"2024-07-14 11:51:00",89.06,65.05,45.04
"2024-07-14 22:51:00",78.98,68,69.19
"2024-07-15 06:48:00",73.4,71.6,94.12
"2024-07-15 15:51:00",89.96,75.11,61.72
